Date,Amount Spent,Daily Budget
2023-08-03,41,58.88
2023-08-04,61,58.88
2023-08-05,41,58.88
2023-08-06,61,58.88
2023-08-07,62,58.88
2023-08-08,69,58.88
2023-08-09,31,58.88
2023-08-10,69,58.88
2023-08-11,28,58.88
2023-08-12,74,58.88
2023-08-13,67,58.88
2023-08-14,58,58.88
2023-08-15,36,58.88
2023-08-16,23,58.88
2023-08-17,39,58.88
2023-08-18,63,58.88
2023-08-19,22,58.88
2023-08-20,69,58.88
2023-08-21,30,58.88
2023-08-22,60,58.88
2023-08-23,66,58.88
2023-08-24,44,58.88
2023-08-25,24,58.88
2023-08-26,70,58.88
2023-08-27,50,58.88
2023-08-28,45,58.88
2023-08-29,29,58.88
2023-08-30,37,58.88
2023-08-31,39,58.88

2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
2023-09-01,50.0,58.88
